,mile, access, station,20 saturday,20 monday,156,178,50,66
column-options,,,,days ardp,days,,,,
route-name,,,,,,,,,
days,,,,ATL,ATL,CVS,CVS,CVS,WAS
origin,,,,,,,,,
RNK,0,,,blank,blank,,,blank,first
LYH,53,,,,,,,blank,
CVS,114,,,,,,,,
CLP,158,,,,,,,,
MSS,193,,,,,,,,
BCV,205,,,,,,,,
ALX,218,,,,,,,,
WAS,226,,,,,,,,
NCR,235,,,,,,,,
BWI,256,,,,,,,,
BAL,267,,,,,,,,
ABE,297,,,,,,,,
NRK,324,,,,,,,,
WIL,336,,,,,,,,
PHL,361,,,,,,,,
TRE,394,,,,,,,,
PJC,404,,,,,,,,
NBK,420,,,,,,,,
MET,428,,,,,,,,
EWR,439,,,,,,,,
NWK,442,,,,,,,,
NYP,452<hr>0,,,last two-row,last two-row,last,,last two-row,
NRO,19,,,blank,blank,blank,,blank,
STM,36,,,blank,blank,blank,,blank,
BRP,58,,,blank,blank,blank,,blank,
NHV,75,,,blank,blank,blank,,blank,
OSB,108,,,blank,blank,blank,,blank,
NLC,126,,,blank,blank,blank,,blank,
WLY,144,,,blank,blank,blank,,blank,
KIN,161,,,blank,blank,blank,,blank,
PVD,188,,,blank,blank,blank,,blank,
RTE,220,,,blank,blank,blank,,blank,
BBY,230,,,blank,blank,blank,,blank,
BOS,231,,,blank,blank,blank,,blank,last
